	shannon
1_d0	3.3420656491075844
10_d0	3.012515800317866
10_d112	6.708663589793909
10_d28	6.380531433797847
10_d56	5.713360427500229
10_d84	6.408866648678636
11_d0	2.5857513384463444
11_d112	7.055667242790452
11_d28	4.916209619774923
11_d56	5.798988811421686
11_d84	6.758806259322237
12_d0	3.484160498043364
12_d112	7.1124783617209175
12_d28	5.094529656011119
12_d56	5.8761549918351825
12_d84	7.2827852332923
13_d0	2.8618529623612186
13_d112	6.6258060861534
13_d28	5.60217222807573
13_d56	6.2415744140657585
13_d84	6.210318485948545
14_d0	3.1671127263241194
14_d112	6.840691451744754
14_d28	4.8821249501520185
14_d56	6.127353068033596
14_d84	6.50290155467118
15_d0	2.7251634482519336
15_d112	6.883589149578957
15_d28	5.149584731239195
15_d56	6.484511264421228
15_d84	6.101282609636583
16_d0	3.752864074704398
16_d112	6.97513790005839
16_d28	4.970097099298368
16_d56	6.118258155617608
16_d84	6.8286846775946275
17_d112	6.906378439721126
17_d28	5.842128561076841
17_d56	3.637364588105139
17_d84	6.045863098101414
18_d0	3.1684766818699255
18_d112	7.033133653808989
18_d28	4.5460056444688055
18_d56	5.916138909224351
18_d84	6.800864461873957
19_d112	6.603933691284815
19_d28	5.659294014685732
19_d56	5.87245058389278
19_d84	6.650406240779797
2_d0	3.4543528314549756
2_d112	6.945340005275196
2_d28	6.054227315821593
2_d56	6.577758238782227
2_d84	6.721358360725896
20_d0	2.3009828831341497
20_d112	7.028984733963596
20_d28	5.37892345636469
20_d56	6.730927117655261
20_d84	6.957878364117491
21_d0	3.5011419899449967
21_d112	6.889602322507528
21_d28	5.869989112491606
21_d56	6.077258657807146
21_d84	6.851829635138929
22_d28	5.482673831127421
23_d112	6.849455082430378
23_d28	5.174343121228655
23_d56	5.700807361237138
23_d84	6.317076412145472
24_d0	3.8304580111399744
24_d112	6.96089207052869
24_d28	5.8307198683137855
24_d56	5.925239653845392
24_d84	6.265123561198966
25_d0	2.9846050838472036
25_d28	5.798419260630726
26_d0	3.9151101803247528
26_d112	6.4883673922184935
26_d28	4.397189315653975
26_d56	6.110623957903979
26_d84	6.516923532541524
27_d112	6.7535335078171
27_d56	5.955903273302901
27_d84	6.607849006794354
28_d112	6.850918870963162
28_d28	4.481971894223272
28_d56	5.308000779378396
28_d84	6.75829469198859
29_d0	1.9947704188008681
29_d112	6.361207492252076
29_d28	5.090421144854489
29_d56	5.875940511837329
29_d84	6.1627738619005115
3_d0	3.698709101662111
3_d112	6.919361856490369
3_d28	5.704888432691843
3_d56	6.0507690805829775
3_d84	6.160339789042281
30_d112	6.581503793773937
30_d28	5.440622981371116
30_d56	6.278888202738944
30_d84	6.1669145856528775
4_d0	3.221296330764506
4_d112	6.802476007615512
4_d28	5.848256552966187
4_d56	6.365873533700082
4_d84	6.285072750070556
5_d0	3.590030236875965
5_d112	6.897831530023513
5_d28	5.304052688338618
5_d56	5.871753644005393
5_d84	5.973734025353715
6_d0	3.8433100695064577
6_d112	6.970481012206401
6_d28	6.129346295041716
6_d56	6.185258675140793
6_d84	6.689244353089076
61_d0	5.174109371768368
61_d112	5.890445636480946
61_d28	5.6329726008452035
61_d56	6.296697349575815
61_d84	6.725502552210982
62_d0	6.567478896008679
62_d112	6.855296274863484
62_d28	5.93994079626061
62_d56	6.161703321190236
62_d84	6.474999731064257
63_d0	5.396036003548563
64_d0	7.128558040586626
64_d112	6.873523094282165
64_d28	6.3158547934961025
64_d56	5.352179804528533
64_d84	4.904720760143531
65_d0	5.358287800471966
65_d112	7.197353665066235
65_d28	5.696057867673941
65_d56	5.0558177972169815
65_d84	6.185163058825158
66_d0	3.502451261815651
66_d112	6.957184665821734
66_d28	5.137151477261626
66_d56	6.126617953013007
66_d84	6.615296026141341
67_d0	3.1684715274546567
67_d28	5.710969930521764
67_d56	5.903263861085059
68_d0	3.0661055306498164
68_d112	6.756193241814943
68_d28	5.1942627877603025
68_d56	5.652470181850443
68_d84	6.5940741981577675
69_d0	5.70580377848862
69_d28	4.762082706351373
7_d112	7.028488869320031
7_d28	5.861484204727422
7_d56	5.810830249279013
7_d84	6.5955974334966285
70_d0	4.327532302259185
70_d112	6.495775815061102
70_d28	5.646397206238169
70_d56	5.923904071368239
70_d84	6.40053952584519
71_d0	3.8965255346602348
71_d112	6.991230149484826
71_d28	4.891732773167325
71_d56	6.377295141346743
71_d84	6.280888627550783
72_d0	5.191081052784376
72_d112	6.263299579989305
72_d28	5.699255820073426
72_d56	6.089189839746647
72_d84	6.3712927133247
73_d0	3.9964787630522913
73_d112	6.851818352468569
73_d28	5.550851085956082
73_d56	4.0806277426474695
73_d84	6.546735548773972
74_d0	4.566411566166745
74_d112	7.133259673665118
74_d28	5.062816489583756
74_d56	5.585399861582412
74_d84	6.469748236703157
75_d0	4.344510202358818
75_d112	6.916068521070409
75_d28	5.812624219123681
75_d56	5.606006114586149
75_d84	6.547745061823716
76_d0	3.3818859437570814
76_d112	7.024697738464272
76_d28	5.6525786478631215
76_d56	6.187329168724955
76_d84	6.064609469873399
77_d0	5.195538185241612
77_d112	6.520171631280911
77_d28	6.046308036531072
77_d56	5.798135780215397
77_d84	6.6071106889310505
78_d0	3.355652617622236
78_d112	6.814132145929247
78_d28	6.056011486092211
78_d56	5.5891425614367325
78_d84	6.517793608807432
79_d0	3.631515241234087
79_d112	7.044312970759062
79_d28	5.830142004579473
79_d56	6.564466656154612
79_d84	6.04378352822042
8_d0	3.137721764128901
8_d112	7.101837011670314
8_d28	5.313636037478717
8_d56	6.540199425631242
8_d84	6.713227192753484
80_d0	2.589185415646957
80_d112	7.612779472983509
80_d28	5.403770776747795
80_d56	6.154678007291671
80_d84	6.324111576954674
81_d0	3.7851559507903647
81_d112	7.075532376779608
81_d28	5.671800961761783
81_d56	6.263952165063986
81_d84	6.942364194588595
82_d0	5.554612699809548
82_d28	5.651160343564236
82_d56	6.047690842049632
83_d0	4.279757694595222
83_d112	6.898618664853365
83_d56	6.296201380805696
83_d84	6.692684138774128
84_d0	5.677909466516459
84_d112	6.980025612243983
84_d28	6.362125313001819
84_d56	6.54403371820377
84_d84	6.466491710024409
85_d0	3.182068896991772
85_d112	7.122328426041079
85_d28	5.853438499828286
85_d56	5.615279730072367
85_d84	6.860476356681978
86_d0	4.01855951599031
86_d112	7.149272239896281
86_d28	5.907287253377481
86_d56	5.324119929878425
86_d84	6.39121713021683
87_d0	2.688788779117817
88_d0	3.0740905302978776
88_d112	6.319413988920427
88_d28	6.284083702331784
88_d56	6.475450757899449
88_d84	6.232843471874085
89_d0	3.307730927052242
89_d112	7.016428316674242
89_d28	6.117672154569691
89_d56	6.320957235965576
89_d84	6.636823620560773
9_d0	2.845700571538748
9_d112	7.000049862633626
9_d28	5.407713907600225
9_d56	6.2114766924294385
9_d84	6.658738615507645
90_d0	3.3311551731410765
90_d112	6.810782736174375
90_d28	5.808282075448884
90_d56	6.0190521709255504
90_d84	5.884865488448144
